링크,이름,가격,신차대비가격,신차가격,차량번호,최초등록일,조회수,연식,주행거리,연료,배기량,색상,보증정보,설명글,엔진형식,연비,최고출력,최대토크,차량중량,선루프,파노라마선루프,열선시트(앞좌석),열선시트(뒷좌석),동승석에어백,후측방경보,후방센서,전방센서,후방카메라,전방카메라,어라운드뷰,열선핸들,오토라이트,크루즈컨트롤,자동주차,네비게이션(순정),네비게이션(비순정),보험처리수,소유자변경,전손,침수전손,침수분손,도난,내차피해_횟수,내차피해_금액,타차가해_횟수,타차가해_금액,판금,교환,부식,사고침수유무,불법구조변경,브랜드,id,analysis_reason
https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2239302&gubun=K,쉐보레 말리부 2.0 LPGi LS 디럭스,399.0,0.0,,16라3138, 24/11/25,170.0,2015.07,120000.0,LPG,1998.0,흰색,만료,"
                            ▶ 본 차량상태..

** 보배드림에 22년째 고정 광고 중입니다.**
** 허의 매물은 일체 올리지 않습니다.**


----이차량 외에도 다른 차량 문의 하셔도 차량 상담 해드리고 있습니다.---
      지하철 1호선 간석역 2번출구 또는 인천지하철 2호선 주안국가산단역이며 버스는 인천터미널로 오시면 됩니다.
      근거리 분들을 위해 교통편이 불편한 분들은 미리 연락 주시면 계신곳 까지 픽업 나가 드립니다.--------

----요즘은 탁송으로 주로 판매하고 있습니다.
      시간 없거나 먼거리 분들을 위해 제가 직접 차량 확인후 동영상으로 장단점 
      자세히 찍어 보내 드리고 영상 받아본후 결정 하시면 됩니다. ---------

----중형승용차에선 보기 드물게 넓은 실내를 가지고 있으며 
      전자파킹 브레이크,열선시트,후방 감지기, 등등 
      편의성 잘되어 있으며 고유가 시대에  경제적인 LPG연료로 한달 유지비 저렴하게 이용할수 있는 장점이 있습니다.-------

》무사고 ,  중고차매매상사의 중고차 성능점검을 마친 합법적인 차량입니다.

》성능기록부상 하부 누유 없이 진단 나온 관리 잘된 차량입니다.

》전차주가 소중히 관리한 차량입니다.상태 좋은 차량 선별하여 올립니다.차량상태 특AA급 입니다.

》무사고 !!  영업이력렌트이력 없는 순수 자가용 입니다.차량상태 최고 !! 전국최저가판매 !!

★무사고//실주행거리 성능올양호/ 엔진및션최상/ 잡소리없음 !! 국내 최저가판매 !!!!★




▶ 구입 방법

》금요일 오후부터 월요일 오전 까지는 보배드림 직원들 없어서 허의,미끼 매물 많이 올라 옵니다.
   성능기록부 없거나 가격이 동급매물보다 싸거나 하는 매물은 허의,미끼 매물일 가능성이 높으니 주의 하세요,

》차량 탁송 거래도 오랜 기간동안 하고 있습니다. 요즘엔 편하게 탁송거래들 많이 하시네요,

》탁송거래시 동영상으로 차량정보 세세히 확인해 드리고 있습니다.

》동영상으로 차량정보 확인후 마음에 드시면 바로 탁송으로 차량 받아 보실수 있습니다.

》제 월 판매량의 대부분은 탁송거래로 이루어 지고 있습니다..

》캐피탈 할부,리스를 같이 하고 있으며 차량대차와 당일 차량출고 가능 합니다.



▶  판매자의 말 한마디


2002년도에 외국계 회사를 그만두고
23년째 간석자동차 매매단지 에서 근무하고 있습니다

》인터넷상의 허의딜러들 주의하시고 상식적인 판단으로 일관되게 생각하시기 바랍니다.


-중고차 특성상 가격은  변동 될수 있으며  구입 해야 할 차량이 있다면 문자, 통화가능합니다.

인터넷 검색에서 ""딜러 전병관"" 을 검색해 보세요


- 한국경제신문(산업/기업)란에 보도.(신문2분의1면 상당의 큰 기사임)
디지털상인 성공사례 (8) 중고차딜러 '전병관씨' 게재일: 2004-07-01 신문

- 전자상거래 따라잡기④온라인매장이 뜬다 [국정브리핑 2004-08-06] 보도

- 문화일보 AM7, 게재일: 2005-01-31 신문등
지역신문, 월간지, 주간지 일간지 등.. 20여건 이상 보도

- 2005년 인터넷  ""옥 션"" 중고차 부문 광고모델 활동

- 김대리e부자만들기(서적) 시공사 2005년 출간(22인을 모토로 만든 서적) 
성공 창업 멘토링 중 중고차 부문 1인으로 소개


▶ 방문위치


지하철 1호선 간석역 2번출구 또는 인천지하철 2호선 주안국가산단역이며 지방분은 인천터미널로 오시면 됩니다.

네비 주소 : 인천 남동구 간석4동 616-85 간석자동차 매매단지 입니다.
매매단지 2층 223호 카맨모터스로 오시면 됩니다.                        ",,8.3km/ℓ,137마력,18.7kg.m,"1,585kg",무,무,유,무,유,무,유,무,무,무,무,무,유,유,무,무,무,7.0, 3회,0.0,0.0, 0 , 0,3회,"(6,003,580원)",3회,"(6,003,580원)",0.0,2.0,0.0,무,무,쉐보레/대우,10,"사고가 없고, 1인 소유로 주행거리가 연식에 비해 적으며, 출퇴근 용도로 사용된 것으로 보입니다."
https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2239669&gubun=K,쉐보레 말리부 2.0 디젤 LT 디럭스팩,399.0,13.0,2920.0,26어2288, 24/12/03,32.0,2014.05,124175.0,디젤,1956.0,흰색,만료,"
                            ■■■■■■■■■■■■■■■■■■■■■

실제 판매하는 차량임을 확인시켜드리고자

유튜브 채널을 운영하고 있습니다.

유튜브에 ■ 두손모터스 ■ 검색하시면

현재 보시는 차량을 영상으로도 만나보실 수

있습니다

■■■■■■■■■■■■■■■■■■■■■ 

안녕하십니까? 경기도 부천시 송내대로

450 국민차매매단지 두손모터스

김상철 대표 입니다. 

저는 경 매,공 매 차량이 아닌 제가 직접 

개인 고객을 찾아가 직접 매입한 

차량만 판매하고 있습니다. 

■■■■■■■■■■■■■■■■■■■■■ 
※ 허위 매물이란 ※ 

실제로 존재하지 않는 매물 혹은 실제로 

존재하더라도 딜러가 판매를 할 의지가 

없는 매물을 말합니다. 즉 소비자를 유인할 

목적으로 없는 매물을 올리거나 가지고 있는 

매물이라도 판매할 의지가 없이 낮은 금액으로 

광고하여 이를 통해 매매 상사를 찾아 온 

소비자들에게 다른 차량을 소개해주고 구매하도록 

유도하는 것입니다. 

따라서 모든 정보를 오픈 하지 않은 차량은 

허위 매물을 의심해보셔야 합니다. 

※ 허위,미끼 매물 구별 방법 ※ 

허위 매물과 구별하는 가장 쉬운 방법은 고객 님께 

차량을 가져다 줄 수 있느냐 없느냐 차이입니다. 꼭 물어보세요.

 여러가지 이유를 대며 매장 방문만 유도한다면 

허위,미끼 매물을 의심해야 합니다. 

저는 제가 직접 매입하고 실제 판매 가능한 

가격에 광고하기 때문에 언제든 차는 가져다 드릴 수 있습니다.

 ■■■■■■■■■■■■■■■■■■■■■ 

※ 문의 방법 ※ 
- 연락 주시면 친절하고 상세하게 설명을 드리도록 하겠습니다.
- 차량은 부천 국민차매매 단지에서만 보실 수 있습니다. 
   차량은 단지 안 실내 주차장에 전시 밖으로 나가실 필요가 없습니다. 
- 경기도 부천시 송내대로 450, 2층 214호 두손모터스 김상철 대표                        ",,13.3km/ℓ,156마력,35.8kg.m,"1,645kg",유,무,무,유,유,무,유,유,무,무,무,무,유,유,무,무,무,3.0, 6회,0.0,0.0, 0 , 0,1회,"(1,820,920원)",1회,"(1,820,920원)",1.0,2.0,0.0,무,무,쉐보레/대우,11,"사고가 없고, 1인 소유로 주행거리가 연식에 비해 적으며, 출퇴근 용도로 사용된 것으로 보입니다."
https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2237834&gubun=K,쉐보레 말리부 2.0 LS 디럭스 팩,279.0,11.0,2379.0,53더8801, 24/10/29,1003.0,2012.1,184754.0,가솔린,1998.0,은색,만료,"
                            ■■■■■■■■■■■■■■■■■■■■■

실제 판매하는 차량임을 확인시켜드리고자

유튜브 채널을 운영하고 있습니다.

유튜브에 ■ 두손모터스 ■ 검색하시면

현재 보시는 차량을 영상으로도 만나보실 수

있습니다

■■■■■■■■■■■■■■■■■■■■■ 

안녕하십니까? 경기도 부천시 송내대로

450 국민차매매단지 두손모터스

김상철 대표 입니다. 

저는 경 매,공 매 차량이 아닌 제가 직접 

개인 고객을 찾아가 직접 매입한 

차량만 판매하고 있습니다. 

■■■■■■■■■■■■■■■■■■■■■ 
※ 허위 매물이란 ※ 

실제로 존재하지 않는 매물 혹은 실제로 

존재하더라도 딜러가 판매를 할 의지가 

없는 매물을 말합니다. 즉 소비자를 유인할 

목적으로 없는 매물을 올리거나 가지고 있는 

매물이라도 판매할 의지가 없이 낮은 금액으로 

광고하여 이를 통해 매매 상사를 찾아 온 

소비자들에게 다른 차량을 소개해주고 구매하도록 

유도하는 것입니다. 

따라서 모든 정보를 오픈 하지 않은 차량은 

허위 매물을 의심해보셔야 합니다. 

※ 허위,미끼 매물 구별 방법 ※ 

허위 매물과 구별하는 가장 쉬운 방법은 고객 님께 

차량을 가져다 줄 수 있느냐 없느냐 차이입니다. 꼭 물어보세요.

 여러가지 이유를 대며 매장 방문만 유도한다면 

허위,미끼 매물을 의심해야 합니다. 

저는 제가 직접 매입하고 실제 판매 가능한 

가격에 광고하기 때문에 언제든 차는 가져다 드릴 수 있습니다.

 ■■■■■■■■■■■■■■■■■■■■■ 

※ 문의 방법 ※ 
- 연락 주시면 친절하고 상세하게 설명을 드리도록 하겠습니다.
- 차량은 부천 국민차매매 단지에서만 보실 수 있습니다. 
   차량은 단지 안 실내 주차장에 전시 밖으로 나가실 필요가 없습니다. 
- 경기도 부천시 송내대로 450, 2층 214호 두손모터스 김상철 대표                        ",,11.6km/ℓ,141마력,18.8kg.m,"1,530kg",유,무,유,유,유,무,유,무,유,무,무,무,유,유,무,무,유,6.0, 1회,0.0,0.0, 0 , 0,4회,"(3,887,820원)",4회,"(3,887,820원)",1.0,1.0,0.0,무,무,쉐보레/대우,12,"사고가 없고, 1인 소유로 주행거리가 연식에 비해 적으며, 출퇴근 용도로 사용된 것으로 보입니다."
https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2238081&gubun=K,쉐보레 말리부 2.0 디젤 LT 디럭스팩,379.0,12.0,2998.0,16소4770, 24/11/02,999.0,2015.06,149704.0,디젤,1956.0,흰색,만료,"
                            ■■■■■■■■■■■■■■■■■■■■■

실제 판매하는 차량임을 확인시켜드리고자

유튜브 채널을 운영하고 있습니다.

유튜브에 ■ 두손모터스 ■ 검색하시면

현재 보시는 차량을 영상으로도 만나보실 수

있습니다

■■■■■■■■■■■■■■■■■■■■■ 

안녕하십니까? 경기도 부천시 송내대로

450 국민차매매단지 두손모터스

김상철 대표 입니다. 

저는 경 매,공 매 차량이 아닌 제가 직접 

개인 고객을 찾아가 직접 매입한 

차량만 판매하고 있습니다. 

■■■■■■■■■■■■■■■■■■■■■ 
※ 허위 매물이란 ※ 

실제로 존재하지 않는 매물 혹은 실제로 

존재하더라도 딜러가 판매를 할 의지가 

없는 매물을 말합니다. 즉 소비자를 유인할 

목적으로 없는 매물을 올리거나 가지고 있는 

매물이라도 판매할 의지가 없이 낮은 금액으로 

광고하여 이를 통해 매매 상사를 찾아 온 

소비자들에게 다른 차량을 소개해주고 구매하도록 

유도하는 것입니다. 

따라서 모든 정보를 오픈 하지 않은 차량은 

허위 매물을 의심해보셔야 합니다. 

※ 허위,미끼 매물 구별 방법 ※ 

허위 매물과 구별하는 가장 쉬운 방법은 고객 님께 

차량을 가져다 줄 수 있느냐 없느냐 차이입니다. 꼭 물어보세요.

 여러가지 이유를 대며 매장 방문만 유도한다면 

허위,미끼 매물을 의심해야 합니다. 

저는 제가 직접 매입하고 실제 판매 가능한 

가격에 광고하기 때문에 언제든 차는 가져다 드릴 수 있습니다.

 ■■■■■■■■■■■■■■■■■■■■■ 

※ 문의 방법 ※ 
- 연락 주시면 친절하고 상세하게 설명을 드리도록 하겠습니다.
- 차량은 부천 국민차매매 단지에서만 보실 수 있습니다. 
   차량은 단지 안 실내 주차장에 전시 밖으로 나가실 필요가 없습니다. 
- 경기도 부천시 송내대로 450, 2층 214호 두손모터스 김상철 대표                        ",,13.3km/ℓ,156마력,35.8kg.m,"1,645kg",유,무,무,유,유,무,유,유,무,무,무,무,유,유,무,무,무,3.0, 6회,0.0,0.0, 0 , 0,2회,"(901,930원)",2회,"(901,930원)",1.0,2.0,0.0,무,무,쉐보레/대우,13,"사고가 없고, 1인 소유로 주행거리가 연식에 비해 적으며, 출퇴근 용도로 사용된 것으로 보입니다."
https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2239202&gubun=K,쉐보레 캡티바 2.0 디젤 2WD LTZ,659.0,20.0,3294.0,29로6497, 24/11/22,415.0,2017.04,148784.0,디젤,1956.0,회색,만료,"
                            ■■■■■■■■■■■■■■■■■■■■■

실제 판매하는 차량임을 확인시켜드리고자

유튜브 채널을 운영하고 있습니다.

유튜브에 ■ 두손모터스 ■ 검색하시면

현재 보시는 차량을 영상으로도 만나보실 수

있습니다

■■■■■■■■■■■■■■■■■■■■■ 

안녕하십니까? 경기도 부천시 송내대로

450 국민차매매단지 두손모터스

김상철 대표 입니다. 

저는 경 매,공 매 차량이 아닌 제가 직접 

개인 고객을 찾아가 직접 매입한 

차량만 판매하고 있습니다. 

■■■■■■■■■■■■■■■■■■■■■ 
※ 허위 매물이란 ※ 

실제로 존재하지 않는 매물 혹은 실제로 

존재하더라도 딜러가 판매를 할 의지가 

없는 매물을 말합니다. 즉 소비자를 유인할 

목적으로 없는 매물을 올리거나 가지고 있는 

매물이라도 판매할 의지가 없이 낮은 금액으로 

광고하여 이를 통해 매매 상사를 찾아 온 

소비자들에게 다른 차량을 소개해주고 구매하도록 

유도하는 것입니다. 

따라서 모든 정보를 오픈 하지 않은 차량은 

허위 매물을 의심해보셔야 합니다. 

※ 허위,미끼 매물 구별 방법 ※ 

허위 매물과 구별하는 가장 쉬운 방법은 고객 님께 

차량을 가져다 줄 수 있느냐 없느냐 차이입니다. 꼭 물어보세요.

 여러가지 이유를 대며 매장 방문만 유도한다면 

허위,미끼 매물을 의심해야 합니다. 

저는 제가 직접 매입하고 실제 판매 가능한 

가격에 광고하기 때문에 언제든 차는 가져다 드릴 수 있습니다.

 ■■■■■■■■■■■■■■■■■■■■■ 

※ 문의 방법 ※ 
- 연락 주시면 친절하고 상세하게 설명을 드리도록 하겠습니다.
- 차량은 부천 국민차매매 단지에서만 보실 수 있습니다. 
   차량은 단지 안 실내 주차장에 전시 밖으로 나가실 필요가 없습니다. 
- 경기도 부천시 송내대로 450, 2층 214호 두손모터스 김상철 대표                        ",2.0I4터보디젤커먼레일,11.8km/ℓ,170마력,40.8kg.m,"1,920kg",유,무,무,유,유,무,유,무,유,무,무,무,유,유,무,무,무,1.0, 4회,0.0,0.0, 0 , 0,1회,"(1,586,000원)",1회,"(1,586,000원)",0.0,1.0,0.0,무,무,쉐보레/대우,14,"사고가 없고, 1인 소유로 주행거리가 연식에 비해 적으며, 출퇴근 용도로 사용된 것으로 보입니다."
https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2239317&gubun=K,쉐보레 올란도 2.0 디젤 LT 프리미엄,299.0,12.0,2429.0,49더6177, 24/11/25,255.0,2012.11,153623.0,디젤,1998.0,은색,만료,"
                            ■■■■■■■■■■■■■■■■■■■■■

실제 판매하는 차량임을 확인시켜드리고자

유튜브 채널을 운영하고 있습니다.

유튜브에 ■ 두손모터스 ■ 검색하시면

현재 보시는 차량을 영상으로도 만나보실 수

있습니다

■■■■■■■■■■■■■■■■■■■■■ 

안녕하십니까? 경기도 부천시 송내대로

450 국민차매매단지 두손모터스

김상철 대표 입니다. 

저는 경 매,공 매 차량이 아닌 제가 직접 

개인 고객을 찾아가 직접 매입한 

차량만 판매하고 있습니다. 

■■■■■■■■■■■■■■■■■■■■■ 
※ 허위 매물이란 ※ 

실제로 존재하지 않는 매물 혹은 실제로 

존재하더라도 딜러가 판매를 할 의지가 

없는 매물을 말합니다. 즉 소비자를 유인할 

목적으로 없는 매물을 올리거나 가지고 있는 

매물이라도 판매할 의지가 없이 낮은 금액으로 

광고하여 이를 통해 매매 상사를 찾아 온 

소비자들에게 다른 차량을 소개해주고 구매하도록 

유도하는 것입니다. 

따라서 모든 정보를 오픈 하지 않은 차량은 

허위 매물을 의심해보셔야 합니다. 

※ 허위,미끼 매물 구별 방법 ※ 

허위 매물과 구별하는 가장 쉬운 방법은 고객 님께 

차량을 가져다 줄 수 있느냐 없느냐 차이입니다. 꼭 물어보세요.

 여러가지 이유를 대며 매장 방문만 유도한다면 

허위,미끼 매물을 의심해야 합니다. 

저는 제가 직접 매입하고 실제 판매 가능한 

가격에 광고하기 때문에 언제든 차는 가져다 드릴 수 있습니다.

 ■■■■■■■■■■■■■■■■■■■■■ 

※ 문의 방법 ※ 
- 연락 주시면 친절하고 상세하게 설명을 드리도록 하겠습니다.
- 차량은 부천 국민차매매 단지에서만 보실 수 있습니다. 
   차량은 단지 안 실내 주차장에 전시 밖으로 나가실 필요가 없습니다. 
- 경기도 부천시 송내대로 450, 2층 214호 두손모터스 김상철 대표                        ",,12.0km/ℓ,163마력,36.7kg.m,"1,705kg",무,무,무,무,유,무,유,무,유,무,무,무,무,유,무,무,무,9.0, 1회,0.0,0.0, 0 , 0,3회,"(2,124,690원)",3회,"(2,124,690원)",0.0,0.0,0.0,무,무,쉐보레/대우,15,"사고가 없고, 1인 소유로 주행거리가 연식에 비해 적으며, 출퇴근 용도로 사용된 것으로 보입니다."
https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2239599&gubun=K,쉐보레 올란도 2.0 디젤 LS 고급형,399.0,17.0,2294.0,12부5412, 24/12/02,55.0,2014.1,145631.0,디젤,1998.0,흰색,만료,"
                            ■■■■■■■■■■■■■■■■■■■■■

실제 판매하는 차량임을 확인시켜드리고자

유튜브 채널을 운영하고 있습니다.

유튜브에 ■ 두손모터스 ■ 검색하시면

현재 보시는 차량을 영상으로도 만나보실 수

있습니다

■■■■■■■■■■■■■■■■■■■■■ 

안녕하십니까? 경기도 부천시 송내대로

450 국민차매매단지 두손모터스

김상철 대표 입니다. 

저는 경 매,공 매 차량이 아닌 제가 직접 

개인 고객을 찾아가 직접 매입한 

차량만 판매하고 있습니다. 

■■■■■■■■■■■■■■■■■■■■■ 
※ 허위 매물이란 ※ 

실제로 존재하지 않는 매물 혹은 실제로 

존재하더라도 딜러가 판매를 할 의지가 

없는 매물을 말합니다. 즉 소비자를 유인할 

목적으로 없는 매물을 올리거나 가지고 있는 

매물이라도 판매할 의지가 없이 낮은 금액으로 

광고하여 이를 통해 매매 상사를 찾아 온 

소비자들에게 다른 차량을 소개해주고 구매하도록 

유도하는 것입니다. 

따라서 모든 정보를 오픈 하지 않은 차량은 

허위 매물을 의심해보셔야 합니다. 

※ 허위,미끼 매물 구별 방법 ※ 

허위 매물과 구별하는 가장 쉬운 방법은 고객 님께 

차량을 가져다 줄 수 있느냐 없느냐 차이입니다. 꼭 물어보세요.

 여러가지 이유를 대며 매장 방문만 유도한다면 

허위,미끼 매물을 의심해야 합니다. 

저는 제가 직접 매입하고 실제 판매 가능한 

가격에 광고하기 때문에 언제든 차는 가져다 드릴 수 있습니다.

 ■■■■■■■■■■■■■■■■■■■■■ 

※ 문의 방법 ※ 
- 연락 주시면 친절하고 상세하게 설명을 드리도록 하겠습니다.
- 차량은 부천 국민차매매 단지에서만 보실 수 있습니다. 
   차량은 단지 안 실내 주차장에 전시 밖으로 나가실 필요가 없습니다. 
- 경기도 부천시 송내대로 450, 2층 214호 두손모터스 김상철 대표                        ",Z20D1,12.0km/ℓ,163마력,36.7kg.m,"1,705kg",무,무,유,무,유,무,유,무,유,무,무,무,무,무,무,무,무,0.0, 2회,0.0,0.0, 0 , 0,0회,(0원),0회,(0원),0.0,0.0,0.0,무,무,쉐보레/대우,16,"사고가 없고, 1인 소유로 주행거리가 연식에 비해 적으며, 출퇴근 용도로 사용된 것으로 보입니다."
https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2239526&gubun=K,쉐보레 올란도 2.0 LPGi LT 컨비니언스,290.0,12.0,2342.0,55주4061, 24/11/30,121.0,2013.06,230000.0,LPG,1998.0,은색,만료,"
                            안녕하세요  차량상태좋습니다
연락주세요  공 일공  8110  2397                         ",직렬4기통,8.7km/ℓ,140마력,18.8kg.m,"1,645kg",무,무,무,무,유,무,유,무,유,무,무,무,무,유,무,무,무,3.0, 1회,0.0,0.0, 0 , 0,3회,"(1,365,655원)",3회,"(1,365,655원)",,,,,,쉐보레/대우,17,"사고가 없고, 1인 소유로 주행거리가 연식에 비해 적으며, 출퇴근 용도로 사용된 것으로 보입니다."
https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2239587&gubun=K,쉐보레 올란도 2.0 디젤  LTZ 프리미엄,350.0,13.0,2668.0,42모3465, 24/12/02,25.0,2012.1,174618.0,디젤,1998.0,갈색,만료,"
                            완전무사고 /누유없음 /1인신조 / 씨트170만원시공
본차량은 실내외 세차 광택 후 전시해놓은차량으로
모든 경정비 끝내놓은 상태입니다.


 차량 사진 그대로 실제 차량임을 약속드리며,허위나 거짓이 없음을 맹세 합니다!!
글을 올리기 전 , 우선 저의 차량의 관심을 가져주셔서 감사드립니다.

중고차를 구매하시고, 알아보시는 과정 많이 고민되시고 힘드시죠??
중고차뿐만 아니라 무엇을 사든 좋은 물건을 싸게 사고싶은건 누구나 바라는 점이죠!
슬프게도 이런 소비자분들의 순수한 마음을 악용하여 허위매물을 올리는 가짜 딜러들이 끊이지 않고있죠..
아마 소비자분들도 반신반의하며 혹시나?하는 마음을 가지고 계실테지요.
하!!!지!!!만!!! 제가 확실하게 말씀 드릴 수 있는 것은 싸고 좋은차는 없습니다.
모든 상품이 그러하듯 중고차 역시 정해진 매매가격이 있습니다 ^^
무조건 싸게 사려하다보면 사고차량 또는 문제있는 차량을 잘못사서 추 후 돈이 더 들어가는 문제나,
허위매물에 걸려 고생하시는 일이 생길 수 있습니다 ..

제가 약속드릴 수 있는건 싸고 좋은차는 없지만, 좋은차를 최대한 만족하 실 수 있는 가격에 가져가실 수 있게 판매하겠습니다.

♥ 차량 내외관 관리 잘되어있는 편이며, 자세한 세부 사항이 궁금하시면 전화 주세요 ^^
♥ 차량 시승도 가능하며, 정비업체에서 차량 상태 & 점검도 가능합니다
♥ 대차 가능하시며 최저가 판매 / 최고가 매입을 원칙으로 합니다
♥ 차량 할부 이용시 전액 할부가능하시며, 금리 또한 최저 금리로 맞춰드립니다

■ 구 비 서 류 ■  
현금 구매 시 : 신분증 또는 운전면허증
할부 구매 시 : 운전면허증, 인감2통, 등본2통, 인감도장, 통장사본
신용 카드 구매 시 : 신분증, 등본1통
법인 할부 구매 시 : 법인인감2통, 법인등본2통, 법인인감도장, 사업자등록증사본, 대표자신분증
차량 판매 시 : 인감1통, 자동차 등록증

▶ 오시는 길 : 인천 서구 가좌동 150-110(인천 서구 염곡로 52) 엠파크 허브
방문해주시는 고객님들을 위해 픽업서비스 가능합니다.
(대중교통이용시 미리 도착예정시간과 장소를 말씀주세요)
★지하철은 1호선 주안역 6번출구/
인천 2호선 가좌역 2번출구에서 하차하시면 모시러 나갑니다.
★그 외 오시는길이 어려우시거나 잘모르시면 편하게 말씀주시면
친절하게 알려드리겠습니다.

★★★★필수 구독 !! 허위매물 피하는 방법 ★★★★

차량 번호판을 가리거나, 주행거리 사진이 없는 경우!!
시세대비 말도 안되게 저렴한 차량!! ( 허위매물이거나, 큰 사고 (전손, 침수) 차량입니다.
차량 등록증과 성능점검기록부를 원하는 손님에게 다른핑계로 안보내주는 딜러 ! 
전화 통화한 담당자는 안나오고 다른 딜러가 나와서 다른 차량을 추천할 경우

구매하시고자 하는 차량이 있을 경우 차량원부 조회를 해보는 것도 허위매물을 피하는 예방법 입니다^^

정직하고 투명한 거래가 될 수 있도록 노력하고 발로 뛰며, 소비자분께 적합하고 좋은 차량을 소개해 드리겠습니다.
24시 친절 상담해드리니, 부담갖지마시고 궁금하신 점 있으시면 언제든 연락 주세요 ^^ 감사합니다                        ",,12.0km/ℓ,163마력,36.7kg.m,"1,705kg",유,무,무,무,유,무,유,무,유,무,무,무,유,유,무,무,무,1.0, 1회,0.0,0.0, 0 , 0,1회,"(1,140,250원)",1회,"(1,140,250원)",,,,,,쉐보레/대우,18,"사고가 없고, 1인 소유로 주행거리가 연식에 비해 적으며, 출퇴근 용도로 사용된 것으로 보입니다."
https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2239350&gubun=K,쉐보레 올 뉴 말리부 2.0 터보 LTZ 프리미엄,1200.0,36.0,3308.0,65수1551, 24/11/26,152.0,2017.02,72840.0,가솔린,1998.0,진회색,불가,"
                            풀옵션 차량이며, 어댑티브크루즈, 파노라마썬루프, 자동주차 및 차선이탈방지, 브이쿨 고가썬팅 및 유리막코팅 되어 있습니다                        ",2.0가솔린터보,10.8km/ℓ,253마력,36kg.m,"1,470kg",무,유,유,유,유,유,유,유,유,유,무,유,무,유,유,유,무,4.0, 0회,0.0,0.0, 0 , 0,2회,"(1,054,350원)",2회,"(1,054,350원)",,,,,,쉐보레/대우,19,"사고가 없고, 1인 소유로 주행거리가 연식에 비해 적으며, 출퇴근 용도로 사용된 것으로 보입니다."
